"Variable","Description"
"ID","Unique customer identifier"
"gender","Male or Female"
"SeniorCitizen","1 if the customer is a senior citizen, 0 otherwise"
"Partner","Customer has a partner: Yes or No"
"Dependents","Customer has dependents: Yes or No"
"tenure","Number of months the customer has stayed with the company"
"PhoneService","Customer has phone service: Yes or No"
"MultipleLines","Customer has multiple phone lines: Yes, No, or 'No phone service'"
"InternetService","Type of internet connection: DSL, Fiber optic, or No"
"OnlineSecurity","Online security add-on: Yes, No, or 'No internet service'"
"OnlineBackup","Online backup add-on: Yes, No, or 'No internet service'"
"DeviceProtection","Device protection add-on: Yes, No, or 'No internet service'"
"TechSupport","Tech support add-on: Yes, No, or 'No internet service'"
"StreamingTV","Streaming TV add-on: Yes, No, or 'No internet service'"
"StreamingMovies","Streaming movies add-on: Yes, No, or 'No internet service'"
"Contract","Contract term: Month-to-month, One year, or Two year"
"PaperlessBilling","Billing is paperless: Yes or No"
"PaymentMethod","Payment method: Electronic check, Mailed check, Bank transfer (automatic), or Credit card (automatic)"
"MonthlyCharges","Current monthly charge amount"
"TotalCharges","Total amount charged to date (may contain blanks that must be coerced to numeric during cleaning)"
"Churn","Target label: Yes if the customer left during the target window; No otherwise"
